,50 year,,,40 year,,,30 year,,,20 year,,,10 year,,
,Stock,Bond,2/3 in Stock + 1/3 in Bond,Stock,Bond,2/3 in Stock + 1/3 in Bond,Stock,Bond,2/3 in Stock + 1/3 in Bond,Stock,Bond,2/3 in Stock + 1/3 in Bond,Stock,Bond,2/3 in Stock + 1/3 in Bond
1%,1.0446,2.4032,2.9783,0.7421,1.7791,1.8908,0.4949,1.3689,1.1948,0.4404,1.0527,0.866,0.4195,0.8632,0.6797
5%,3.0045,3.5775,5.9936,1.9171,2.5743,3.5351,1.2359,1.8447,2.1272,0.8543,1.3375,1.3737,0.653,1.0244,0.9288
20%,10.5154,5.8705,13.8,5.6352,3.9234,7.3154,3.275,2.6629,4.1102,1.8744,1.8179,2.2979,1.1672,1.2631,1.3416
50%,37.6228,9.6682,32.1367,18.283,6.1143,16.2236,8.9152,3.8929,8.1312,4.3003,2.4874,4.0329,2.0747,1.5726,1.9883
80%,134.377,15.8103,76.8175,58.8133,9.6482,35.2289,24.8262,5.7467,16.0035,9.6655,3.3865,6.9847,3.6763,1.9645,2.9376
95%,477.1773,25.1793,175.3908,166.0178,14.6872,73.9294,61.5266,8.2314,30.5338,20.1246,4.5288,11.6041,6.2768,2.4153,4.2308
99%,1334.9919,37.6642,361.0523,428.0253,20.984,139.1589,131.1286,10.988,53.1957,37.6543,5.7433,17.9032,9.4147,2.854,5.6049
